TID	target_prefname	organism	chembl_id	molregcount	target_type	uniprot_accession_ids	protein_class_id	protein_classification_prefname	short_name	protein_class_desc	definition	class_level	C
109958	EF-hand calcium-binding domain-containing protein 4B	Homo sapiens	CHEMBL3638353	56	SINGLE PROTEIN	Q9BSW2|B4E1X0|B9EK63	601	Unclassified protein	Unclassified	unclassified	None	1
109968	Microtubule-associated protein tau	Bos taurus	CHEMBL3638363	11	SINGLE PROTEIN	P29172|P29173|Q28185|Q28186|Q28187|Q28188|Q28189|Q28190|Q32KT2	8	Other cytosolic protein	Cytosolic other	cytosolic other	None	1
109970	Amyloid beta A4 protein	Rattus norvegicus	CHEMBL3638365	43	SINGLE PROTEIN	P08592|Q547B7	11	Membrane receptor	Membrane receptor	membrane receptor	Cell surface proteins that bind signalling molecules external to the cell with high affinity and convert this extracellular event into one or more intracellular signals that alter the behavior of the target cell (From Alberts, Molecular Biology of the Cell, 2nd ed, pp693-5). Cell surface receptors, unlike enzymes, do not chemically alter their ligands. [MESH:D011956]	1
109995	Genome polyprotein	Hepatitis C virus genotype 3a (isolate NZL1) (HCV)	CHEMBL3707464	44	SINGLE PROTEIN	Q81258	1	Enzyme	Enzyme	enzyme	Biological molecules that possess catalytic activity. They may occur naturally or be synthetically created. Enzymes are usually proteins, however CATALYTIC RNA and CATALYTIC DNA molecules have also been identified. [MESH:D004798]	1
114868	Transmembrane domain-containing protein TMIGD3	Homo sapiens	CHEMBL3712907	151	SINGLE PROTEIN	P0DMS9|A2A3P4|P33765|Q5QNY7|Q6P2N6|Q6UWU0|Q9BYZ1	601	Unclassified protein	Unclassified	unclassified	None	1
114915	Interleukin-15	Homo sapiens	CHEMBL3712954	14	SINGLE PROTEIN	P40933|D3DNZ2|O00440|O43512|Q495Z8|Q6FGX7|Q93058|Q9UBA3	3	Secreted protein	Secreted	secreted	None	1
115023	Tissue factor pathway inhibitor	Homo sapiens	CHEMBL3713062	1814	SINGLE PROTEIN	P10646|O95103|Q53TS4	601	Unclassified protein	Unclassified	unclassified	None	1
115264	CD63 antigen	Homo sapiens	CHEMBL3713303	11	SINGLE PROTEIN	P08962|F8VZE2|Q5TZP3|Q8N6Z9|Q9UCG6	9	Surface antigen	Surface antigen	surface antigen	Antigens on surfaces of cells, including infectious or foreign cells or viruses. They are usually protein-containing groups on cell membranes or walls and may be isolated. [MESH:D000954]	1
116544	Leukocyte surface antigen CD47	Homo sapiens	CHEMBL3714583	20	SINGLE PROTEIN	Q08722|A8K198|D3DN59|Q53Y71|Q96A60	11	Membrane receptor	Membrane receptor	membrane receptor	Cell surface proteins that bind signalling molecules external to the cell with high affinity and convert this extracellular event into one or more intracellular signals that alter the behavior of the target cell (From Alberts, Molecular Biology of the Cell, 2nd ed, pp693-5). Cell surface receptors, unlike enzymes, do not chemically alter their ligands. [MESH:D011956]	1
116665	Hepatocyte nuclear factor 4-alpha	Rattus norvegicus	CHEMBL3714705	23	SINGLE PROTEIN	P22449|A2ICG9	601	Unclassified protein	Unclassified	unclassified	None	1
116679	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	Homo sapiens	CHEMBL3721311	18	SINGLE PROTEIN	Q16877|Q5S3G5|Q5XLC2|Q64EX5	1	Enzyme	Enzyme	enzyme	Biological molecules that possess catalytic activity. They may occur naturally or be synthetically created. Enzymes are usually proteins, however CATALYTIC RNA and CATALYTIC DNA molecules have also been identified. [MESH:D004798]	1
